subject,target_location,delay,trial,End_Center_X,End_Center_Y,Target_Center_X,Target_Center_Y,Initial_X,Initial_Y,Total_Time
sub2,midTopLeft,100,7,392.6935119628906,222.78278605143228,394.10418796539307,231.80953566233316,727.7142953872681,394.57144260406494,665
sub2,midBottomRight,0,8,1074.5448404947917,613.4078369140625,1063.991130510966,602.0952768325806,727.7142953872681,394.57144260406494,480
sub2,midBottomRight,150,9,1059.1161295572917,603.6934814453125,1063.991130510966,602.0952768325806,727.7142953872681,394.57144260406494,538
sub2,midBottomRight,250,10,1075.6875406901042,605.9791870117188,1063.991130510966,602.0952768325806,727.7142953872681,394.57144260406494,689
sub2,midBottomLeft,200,11,394.9792175292969,610.5505981445312,394.10418796539307,602.0952768325806,727.7142953872681,394.57144260406494,927
sub2,cornerBottomRight,50,12,1429.4226175944011,813.8662109375,1413.3155628840127,802.2321786880493,727.7142953872681,394.57144260406494,977
sub2,cornerTopRight,100,13,1409.9178568522136,34.32440662384033,1413.8108021418252,31.67262077331543,727.7142953872681,394.57144260406494,983
sub2,cornerBottomLeft,0,14,52.25357332229614,795.0089721679688,43.78928747177124,802.2321786880493,727.7142953872681,394.57144260406494,841
sub2,cornerBottomLeft,150,15,39.682150745391844,804.1519165039062,43.78928747177124,802.2321786880493,727.7142953872681,394.57144260406494,985
sub2,cornerTopLeft,250,16,46.910715103149414,33.18155384063721,44.16071605682373,31.67262077331543,727.7142953872681,394.57144260406494,1122
sub2,cornerBottomLeft,200,17,38.53928651809692,800.7232666015625,43.78928747177124,802.2321786880493,727.7142953872681,394.57144260406494,1253
sub2,midBottomLeft,50,18,394.4077453613281,602.5505981445312,394.10418796539307,602.0952768325806,727.7142953872681,394.57144260406494,697
sub2,midTopLeft,100,19,379.55059814453125,225.06849161783853,394.10418796539307,231.80953566233316,727.7142953872681,394.57144260406494,727
sub2,midBottomRight,0,20,1047.6875406901042,602.5505981445312,1063.991130510966,602.0952768325806,727.7142953872681,394.57144260406494,671
sub2,cornerTopLeft,150,21,30.910715103149414,28.038695335388184,44.16071605682373,31.67262077331543,727.7142953872681,394.57144260406494,923
sub2,cornerTopLeft,250,22,30.33928871154785,25.18155574798584,44.16071605682373,31.67262077331543,727.7142953872681,394.57144260406494,1121
sub2,midTopLeft,200,23,386.9792175292969,230.21134440104166,394.10418796539307,231.80953566233316,727.7142953872681,394.57144260406494,1001
sub2,midTopRight,50,24,1060.2590738932292,231.92562357584637,1063.991130510966,231.80953566233316,727.7142953872681,394.57144260406494,779
sub2,midBottomLeft,100,25,396.6935119628906,596.2649536132812,394.10418796539307,602.0952768325806,727.7142953872681,394.57144260406494,795
sub2,midBottomLeft,0,26,394.9792175292969,597.9791870117188,394.10418796539307,602.0952768325806,727.7142953872681,394.57144260406494,637
sub2,midBottomLeft,150,27,392.6935119628906,604.2649536132812,394.10418796539307,602.0952768325806,727.7142953872681,394.57144260406494,887
sub2,cornerTopRight,250,28,1407.6323343912761,30.324408531188965,1413.8108021418252,31.67262077331543,727.7142953872681,394.57144260406494,2487
sub2,cornerBottomLeft,200,29,42.53928651809692,796.7232666015625,43.78928747177124,802.2321786880493,727.7142953872681,394.57144260406494,1435
sub2,cornerTopLeft,50,30,45.76785850524902,32.61012935638428,44.16071605682373,31.67262077331543,727.7142953872681,394.57144260406494,841
sub2,cornerTopRight,100,31,1415.6323343912761,24.610129356384277,1413.8108021418252,31.67262077331543,727.7142953872681,394.57144260406494,1027
sub2,cornerBottomLeft,0,32,48.25357332229614,776.1519165039062,43.78928747177124,802.2321786880493,727.7142953872681,394.57144260406494,850
sub2,midTopLeft,150,33,379.55059814453125,213.639902750651,394.10418796539307,231.80953566233316,727.7142953872681,394.57144260406494,668
sub2,midBottomRight,250,34,1061.4017740885417,602.5505981445312,1063.991130510966,602.0952768325806,727.7142953872681,394.57144260406494,864
sub2,midTopRight,200,35,1063.1161295572917,222.78278605143228,1063.991130510966,231.80953566233316,727.7142953872681,394.57144260406494,990
sub2,cornerBottomRight,50,36,1413.4226175944011,803.5803833007812,1413.3155628840127,802.2321786880493,727.7142953872681,394.57144260406494,915
sub2,cornerBottomLeft,100,37,45.39642992019653,803.5803833007812,43.78928747177124,802.2321786880493,727.7142953872681,394.57144260406494,829
sub2,midTopRight,0,38,1061.9731852213542,237.06849161783853,1063.991130510966,231.80953566233316,727.7142953872681,394.57144260406494,539
sub2,cornerTopRight,150,39,1427.0609232584636,26.89584255218506,1413.8108021418252,31.67262077331543,727.7142953872681,394.57144260406494,1205
sub2,cornerBottomLeft,250,40,51.11071672439575,793.8662109375,43.78928747177124,802.2321786880493,727.7142953872681,394.57144260406494,1308
sub2,cornerTopRight,200,41,1424.2036234537761,29.18155574798584,1413.8108021418252,31.67262077331543,727.7142953872681,394.57144260406494,1277
sub2,cornerBottomRight,50,42,1415.7083841959636,798.4376220703125,1413.3155628840127,802.2321786880493,727.7142953872681,394.57144260406494,850
sub2,cornerTopLeft,100,43,42.910715103149414,37.18155384063721,44.16071605682373,31.67262077331543,727.7142953872681,394.57144260406494,1203
sub2,midTopLeft,0,44,380.1220397949219,231.92562357584637,394.10418796539307,231.80953566233316,727.7142953872681,394.57144260406494,539
sub2,cornerBottomRight,150,45,1415.7083841959636,799.5803833007812,1413.3155628840127,802.2321786880493,727.7142953872681,394.57144260406494,921
sub2,cornerBottomLeft,250,46,40.825007343292235,800.7232666015625,43.78928747177124,802.2321786880493,727.7142953872681,394.57144260406494,1555
sub2,midTopRight,200,47,1064.2590738932292,226.21134440104166,1063.991130510966,231.80953566233316,727.7142953872681,394.57144260406494,856
sub2,midTopLeft,50,48,402.9792175292969,229.06849161783853,394.10418796539307,231.80953566233316,727.7142953872681,394.57144260406494,644
sub2,midTopRight,100,49,1051.6875406901042,249.06849161783853,1063.991130510966,231.80953566233316,727.7142953872681,394.57144260406494,721
sub2,midTopRight,0,50,1060.2590738932292,238.21134440104166,1063.991130510966,231.80953566233316,727.7142953872681,394.57144260406494,682
sub2,midBottomLeft,150,51,389.264892578125,600.8363037109375,394.10418796539307,602.0952768325806,727.7142953872681,394.57144260406494,842
sub2,midBottomLeft,250,52,399.55059814453125,600.8363037109375,394.10418796539307,602.0952768325806,727.7142953872681,394.57144260406494,910
sub2,cornerBottomRight,200,53,1415.1370951334636,799.5803833007812,1413.3155628840127,802.2321786880493,727.7142953872681,394.57144260406494,1113
sub2,cornerBottomRight,50,54,1413.4226175944011,800.1519165039062,1413.3155628840127,802.2321786880493,727.7142953872681,394.57144260406494,1098
sub2,midBottomLeft,100,55,387.55059814453125,596.8363037109375,394.10418796539307,602.0952768325806,727.7142953872681,394.57144260406494,1381
sub2,cornerBottomRight,0,56,1399.1370951334636,808.7232666015625,1413.3155628840127,802.2321786880493,727.7142953872681,394.57144260406494,860
sub2,cornerTopLeft,150,57,52.62500190734863,33.75298023223877,44.16071605682373,31.67262077331543,727.7142953872681,394.57144260406494,1019
sub2,cornerTopLeft,250,58,30.33928871154785,32.038702964782715,44.16071605682373,31.67262077331543,727.7142953872681,394.57144260406494,1380
sub2,midTopRight,200,59,1056.8303629557292,235.92562357584637,1063.991130510966,231.80953566233316,727.7142953872681,394.57144260406494,1009
sub2,cornerTopLeft,50,60,61.76785850524902,42.32440662384033,44.16071605682373,31.67262077331543,727.7142953872681,394.57144260406494,855
sub2,midTopLeft,100,61,402.4077453613281,231.35418192545572,394.10418796539307,231.80953566233316,727.7142953872681,394.57144260406494,794
sub2,cornerTopRight,0,62,1408.2036234537761,36.610127449035645,1413.8108021418252,31.67262077331543,727.7142953872681,394.57144260406494,960
sub2,cornerBottomLeft,150,63,45.39642992019653,798.4376220703125,43.78928747177124,802.2321786880493,727.7142953872681,394.57144260406494,1169
sub2,midTopLeft,250,64,389.264892578125,230.78278605143228,394.10418796539307,231.80953566233316,727.7142953872681,394.57144260406494,1087
sub2,midTopRight,200,65,1060.8303629557292,232.49703470865884,1063.991130510966,231.80953566233316,727.7142953872681,394.57144260406494,1054
