trial,target,delay,time,scrollCount_totalScrollCount,scrollCount_upScrollCount,scrollCount_downScrollCount,scrollCount_reverseScrollCount,participants
15,DIV 6,0,2.87,38,8,30,8,2
16,DIV 5,150,3.516,34,11,23,11,2
17,DIV 7,250,2.409,23,0,23,0,2
18,DIV 5,200,2.937,15,0,15,0,2
19,DIV 1,50,2.884,21,21,0,0,2
20,DIV 5,100,2.917,19,0,19,0,2
21,DIV 2,0,3.815,36,32,4,4,2
22,DIV 3,150,2.427,18,18,0,0,2
23,DIV 2,250,4.012,46,36,10,10,2
24,DIV 1,200,3.142,25,25,0,0,2
25,DIV 5,50,2.992,40,14,26,14,2
26,DIV 7,100,2.987,31,0,31,0,2
27,DIV 5,0,2.63,22,6,16,6,2
28,DIV 1,150,2.79,22,22,0,0,2
29,DIV 2,250,2.385,21,21,0,0,2
30,DIV 7,200,2.484,18,0,18,0,2
31,DIV 1,50,3.165,21,21,0,0,2
32,DIV 3,100,2.835,28,17,11,11,2
33,DIV 3,0,2.723,21,21,0,0,2
34,DIV 5,150,3.611,38,13,25,13,2
35,DIV 3,250,3.561,31,25,6,6,2
36,DIV 3,200,3.355,33,27,6,6,2
37,DIV 2,50,3.112,37,26,11,11,2
38,DIV 2,100,2.867,35,30,5,5,2
39,DIV 5,0,2.24,17,0,17,0,2
40,DIV 7,150,2.942,21,0,21,0,2
41,DIV 5,250,3.826,33,11,22,11,2
42,DIV 6,200,3.61,53,17,36,17,2
43,DIV 3,50,3.069,29,21,8,8,2
44,DIV 7,100,3.351,45,0,45,0,2
45,DIV 3,0,2.798,15,15,0,0,2
46,DIV 3,150,2.598,23,23,0,0,2
47,DIV 1,250,3.585,41,41,0,0,2
48,DIV 2,200,3.769,39,34,5,5,2
49,DIV 6,50,3.32,36,3,33,3,2
50,DIV 3,100,3.122,32,26,6,6,2
51,DIV 7,0,2.962,43,0,43,0,2
52,DIV 5,150,3.425,35,13,22,13,2
53,DIV 5,250,3.349,25,5,20,5,2
54,DIV 5,200,2.173,11,0,11,0,2
55,DIV 1,50,2.961,25,25,0,0,2
56,DIV 2,100,3.065,38,29,9,9,2
57,DIV 1,0,5.267,25,25,0,0,2
58,DIV 7,150,2.758,26,0,26,0,2
59,DIV 5,250,3.51,28,8,20,8,2
60,DIV 7,200,2.802,31,0,31,0,2
61,DIV 3,50,2.387,21,21,0,0,2
62,DIV 3,100,2.251,17,17,0,0,2
63,DIV 6,0,2.909,33,4,29,4,2
64,DIV 7,150,3.045,35,0,35,0,2
65,DIV 1,250,2.83,24,24,0,0,2
66,DIV 5,200,3.317,35,14,21,14,2
67,DIV 5,50,2.568,22,6,16,6,2
68,DIV 1,100,2.592,25,25,0,0,2
69,DIV 7,0,2.599,29,0,29,0,2
70,DIV 2,150,3.191,24,24,0,0,2
71,DIV 2,250,2.56,25,25,0,0,2
72,DIV 7,200,3.568,44,0,44,0,2
73,DIV 7,50,2.585,33,0,33,0,2
74,DIV 1,100,3.333,32,32,0,0,2
75,DIV 1,0,3.897,74,74,0,0,2
76,DIV 1,150,4.112,71,71,0,0,2
77,DIV 1,250,2.942,26,26,0,0,2
78,DIV 1,200,3.269,49,49,0,0,2
79,DIV 3,50,2.785,27,22,5,5,2
80,DIV 5,100,2.98,33,10,23,10,2
81,DIV 2,0,2.741,35,35,0,0,2
82,DIV 6,150,3.375,52,22,30,22,2
83,DIV 3,250,4.023,36,27,9,9,2
84,DIV 6,200,3.609,49,10,39,10,2
85,DIV 6,50,2.974,30,0,30,0,2
86,DIV 5,100,4.724,27,8,19,8,2
87,DIV 7,0,2.763,31,0,31,0,2
88,DIV 6,150,3.017,26,0,26,0,2
